Date,Filename,Total,Additions,Deletions
2019-05-01,FileServer.java,3,0,3
2019-05-01,FileItemRestClient.java,138,74,64
2019-05-01,FileItem.java,28,8,20
2019-05-01,AbstractAuditEntity.java,6,3,3
2019-05-01,AppCfg.java,11,0,11
2019-05-01,FilesRestResource.java,2,1,1
2019-05-01,UserRestResource.java,13,4,9
2019-05-01,DownloadService.java,7,3,4
2019-05-01,FileService.java,46,15,31
2019-05-01,UploadService.java,6,3,3
2019-05-01,FileItemUtil.java,14,6,8
2019-05-01,SecurityUtil.java,48,18,30
2019-05-01,FallbackConfig.java,1,0,1
2019-05-01,MustacheCfg.java,2,1,1
2019-05-01,WebInterceptor.java,33,20,13
2019-05-01,DisconnectController.java,5,2,3
2019-05-01,DownloadController.java,2,1,1
2019-05-01,UploadController.java,1,0,1
2019-05-01,head.hbs,2,1,1
2019-05-01,lombok.config,3,3,0
2019-05-01,lombok.config,2,2,0
2019-05-01,lombok.config,2,2,0
2019-05-01,lombok.config,2,2,0
2019-05-01,lombok.config,2,2,0
2019-05-01,lombok.config,2,2,0
2019-05-01,AppProps.java,6,2,4
2019-05-01,DbProps.java,8,4,4
2019-05-01,FileItemsRestServiceProps.java,5,1,4
2019-05-01,lombok.config,2,2,0
2019-05-01,SecurityConfig.java,8,7,1
2019-05-01,lombok.config,2,2,0
2019-05-01,.travis.yml,99,64,35
2019-05-01,build.gradle.kts,6,3,3
2019-05-01,Globals.kt,10,5,5
2019-05-01,gradle.properties,3,2,1
2019-05-01,head.hbs,2,1,1
2019-05-01,tail.hbs,4,2,2
2019-05-01,application-h2.bash,2,1,1
2019-05-01,application-h2.cmd,2,1,1
2019-05-01,application.bash,2,1,1
2019-05-01,application.cmd,2,1,1
2019-05-01,MavenWrapperDownloader.java,110,110,0
2019-05-01,maven-wrapper.jar,0,0,0
2019-05-01,maven-wrapper.properties,2,1,1
2019-05-01,.travis.yml,28,17,11
2019-05-01,build.gradle.kts,63,36,27
2019-05-01,build.gradle.kts,19,19,0
2019-05-01,Globals.kt,46,46,0
2019-05-01,gradle.properties,26,0,26
2019-05-01,Globals.kt,46,46,0
2019-05-01,gradle.properties,28,0,28
2019-05-01,build.gradle.kts,5,5,0
2019-05-01,mvnw,59,59,0
2019-05-01,mvnw.cmd,20,19,1
2019-05-01,application-h2.bash,2,1,1
2019-05-01,application-h2.cmd,2,1,1
2019-05-01,application.bash,2,1,1
2019-05-01,application.cmd,2,1,1
2019-05-01,settings.gradle.kts,15,12,3
2019-04-01,Dockerfile,7,4,3
2019-04-01,Dockerfile,2,1,1
2019-04-01,Dockerfile,2,1,1
2019-04-01,.travis.yml,6,6,0
2019-04-01,build.gradle.kts,2,1,1
2019-04-01,gradle.properties,10,5,5
2019-04-01,gradle-wrapper.properties,2,1,1
2019-04-01,tail.hbs,4,2,2
2019-04-01,application-h2.bash,2,1,1
2019-04-01,application-h2.cmd,2,1,1
2019-04-01,application.bash,2,1,1
2019-04-01,application.cmd,2,1,1
2019-04-01,build.gradle.kts,27,10,17
2019-04-01,gradle.properties,7,5,2
2019-04-01,dependencyUpdates.gradle.kts,32,32,0
2019-04-01,gradle.properties,3,3,0
2019-04-01,build.gradle.kts,1,0,1
2019-04-01,build.gradle.kts,2,0,2
2019-04-01,application-h2.bash,2,1,1
2019-04-01,application-h2.cmd,2,1,1
2019-04-01,application.bash,2,1,1
2019-04-01,application.cmd,2,1,1
2019-04-01,settings.gradle.kts,5,2,3
2019-04-01,build.gradle.kts,44,33,11
